language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08"
JSX,Frontend/src/context/issues/issues.provider.jsx,26,40,160
JSX,Frontend/src/features/admin/issues/components/AdminIssueDetailDialog.jsx,10,0,160
JavaScript,Frontend/src/services/auth.service.js,24,100,160
JavaScript,Backend/modules/issues/active/buildActiveIssuesResponse.js,21,0,159
JSX,Frontend/src/features/admin/models/ModelManifestSyncPanel.jsx,16,0,159
JavaScript,Backend/modules/issues/creation/validateIssueModelRuntime.js,18,0,156
Python,ApiModels/models/herrera_viedma_crp/utils.py,77,89,154
JSX,Frontend/src/features/finishedIssueDialog/graphs/GraphsSection.jsx,14,5,153
JavaScript,Backend/modules/admin/users/deleteAdminUser.js,25,0,152
JavaScript,Backend/modules/decisionEngine/modelParameters/modelParameter.validation.js,24,0,152
JavaScript,Backend/modules/issues/finished/finishedPayload/buildFinishedPayloadContext.js,17,0,152
JavaScript,Frontend/src/features/createIssue/logic/createIssueCriteriaWeightValues.js,33,0,151
JSX,Frontend/src/features/finishedIssueDialog/graphs/components/AnalyticalScatterChart.jsx,13,6,151
JavaScript,Backend/modules/issues/finished/finishedPayload/buildFinishedSummary.js,19,0,150
JavaScript,Backend/modules/issues/finished/finishedPayload/buildNonConsensusFinishedPayload.js,15,0,146
JavaScript,Backend/modules/decisionEngine/modelParameters/criteriaWeightValues.js,22,0,145
JavaScript,Backend/modules/issues/notifications/getNotificationsPayload.js,24,0,145
JavaScript,Backend/modules/admin/issueReads/adminIssueReadPayloads.js,21,0,144
JSX,Frontend/src/features/finishedIssueDialog/models/components/ModelsSectionScenarioWeightsField.jsx,18,0,142
JavaScript,Backend/services/modelApi/modelManifestClient.js,32,0,141
JavaScript,Backend/modules/admin/users/updateAdminUser.js,29,0,140
JavaScript,Backend/modules/issues/active/groupActiveIssueRecords.js,17,0,140
JavaScript,Backend/modules/issues/shared/queries.js,30,0,140
JavaScript,Frontend/src/features/admin/issues/hooks/useAdminIssueDetail.js,24,1,140
JSX,Frontend/src/features/finishedIssueDialog/overview/SummarySection.jsx,13,5,139
JSX,Frontend/src/features/issueEvaluation/components/AlternativeEvaluationDialogShell.jsx,12,25,139
JSX,Frontend/src/features/finishedIssueDialog/components/FinishedIssueDialogHeader.jsx,11,5,138
JavaScript,Backend/modules/decisionEngine/evaluations/structures/shared/alternativeEvaluation.helpers.js,14,0,135
JavaScript,Backend/modules/decisionEngine/modelExecution/normalizeModelExecutionResult.js,18,0,134
JSX,Frontend/src/features/admin/issues/components/AdminIssuesToolbar.jsx,8,0,134
JavaScript,Backend/modules/issues/active/buildActiveParticipationSummary.js,14,0,131
JavaScript,Frontend/src/features/issueExperts/hooks/useIssueExperts.js,26,48,131
JavaScript,Backend/modules/issues/shared/ordering.js,35,0,130
JSX,Frontend/src/components/Account/Account.jsx,10,7,130
JSX,Frontend/src/features/admin/components/AdminHome.jsx,16,5,130
JavaScript,Backend/modules/expressionDomains/resolveIssueDomainAssignments.js,19,0,126
JSX,Frontend/src/features/activeIssues/components/drawer/ActiveIssueDrawerHeader.jsx,14,12,126
JSX,Frontend/src/features/createIssue/modelSelection/ModelSelectionStep.jsx,14,0,126
JSX,Frontend/src/features/finishedIssues/components/FinishedIssuesView.jsx,12,8,126
JavaScript,Backend/modules/decisionEngine/evaluations/evaluation.lifecycle.js,15,0,125
JavaScript,Frontend/src/theme/appTheme.js,4,0,124
JSX,Frontend/src/features/modelParameters/fields/numberCriterion/NumberCriterionParameterField.jsx,17,0,123
JavaScript,Backend/modules/issues/scenarios/createIssueScenario.js,11,0,122
JavaScript,Frontend/src/features/issueEvaluation/structures/alternativeCriteriaMatrix/directEvaluation.validation.js,18,9,120
JavaScript,Backend/modules/issues/finished/finishedPayload/buildFinishedConsensus.js,14,0,119
JSX,Frontend/src/features/admin/issues/components/AdminIssueReassignDialog.jsx,11,0,118
JavaScript,Backend/modules/admin/issueReads/getIssueExpertEvaluationsPayload.js,9,0,117
JavaScript,Backend/modules/issues/scenarios/resolveScenarioModelParameters.js,18,0,117
JavaScript,Backend/modules/decisionEngine/modelExecution/issueModelExecution.service.js,12,0,116
Python,ApiModels/services/model_executors/bwm.py,30,0,115
JavaScript,Backend/modules/auth/account.js,25,0,115
JavaScript,Backend/modules/issues/creation/initialCriteriaWeights/validateCriteriaWeightModelRuntime.js,18,0,115
JavaScript,Backend/services/email.service.js,14,0,115
JSX,Frontend/src/features/createIssue/criteria/components/CriterionWeightField.jsx,15,0,115
JavaScript,Backend/modules/issues/lifecycle/removeIssueParticipant.js,17,0,114
JSX,Frontend/src/App.jsx,13,0,114
JSX,Frontend/src/features/createIssue/components/StepperLibConnector.jsx,11,0,114
JavaScript,Backend/modules/decisionEngine/evaluations/structures/manualCriteriaWeights/manualCriteriaWeights.payload.js,21,0,113
JSX,Frontend/src/features/activeIssues/components/ActiveIssuesMobileView.jsx,6,7,113
JavaScript,Frontend/src/features/createIssue/logic/createIssueDraftState.js,20,0,113
JSX,Frontend/src/features/issueEvaluation/structures/alternativePairwiseByCriterion/CriterionCompactSelector.jsx,8,0,113
JSX,Frontend/src/features/modelParameters/fields/selectCriterion/SelectCriterionParameterField.jsx,12,0,113
JavaScript,Backend/modules/decisionEngine/modelExecution/criteriaWeightingExecutors.js,16,0,112
JSX,Frontend/src/components/FuzzyPreviewChart/FuzzyPreviewChart.jsx,13,0,112
JSX,Frontend/src/components/StyledComponents/ConfirmationDialog.jsx,7,29,112
JSX,Frontend/src/features/admin/models/components/ModelCards.jsx,7,0,112
JSX,Frontend/src/features/activeIssues/components/TaskCenter.jsx,26,30,111
JavaScript,Frontend/src/features/activeIssues/logic/activeIssuesMeta.js,18,18,111
JavaScript,Frontend/src/features/finishedIssueDialog/logic/buildFinishedIssueView.js,11,0,110
JSX,Frontend/src/features/finishedIssueDialog/models/ModelSpecificOutputSection.jsx,13,5,110
JavaScript,Backend/modules/auth/profile.js,28,0,108
JavaScript,Backend/routes/admin.route.js,19,0,105
JSX,Frontend/src/features/activeIssues/components/ActiveIssuesDesktopView.jsx,4,6,105
JavaScript,Backend/modules/admin/users/createAdminUser.js,17,0,104
JavaScript,Backend/modules/auth/emailChange.js,27,0,104
JavaScript,Frontend/src/features/admin/models/hooks/useModelManifestActions.js,17,0,104
JavaScript,Backend/modules/issues/creation/initialCriteriaWeights/resolveCriteriaWeightMode.js,10,0,101
JavaScript,Backend/modules/issues/creation/resolveIssueCreationOptions.js,14,0,101
JavaScript,Frontend/src/features/activeIssues/hooks/useActiveIssueActions.js,21,35,100
JavaScript,Frontend/src/features/admin/issues/logic/buildAdminIssueDetailView.js,10,0,100
